Date;WalMartRevenue;CPI;PersonalConsumption;RetailSalesIndex;December
28.11.2003;14.764;552.7;7868495;301337;0
30.12.2003;23.106;552.1;7885264;357704;1
30.01.2004;12.131;554.9;7977730;281463;0
27.02.2004;13.628;557.9;8005878;282445;0
31.03.2004;16.722;561.5;8070480;319107;0
29.04.2004;13.98;563.2;8086579;315278;0
28.05.2004;14.388;566.4;8196516;328499;0
30.06.2004;18.111;568.2;8161271;321151;0
27.07.2004;13.764;567.5;8235349;328025;0
27.08.2004;14.296;567.6;8246121;326280;0
30.09.2004;17.169;568.7;8313670;313444;0
29.10.2004;13.915;571.9;8371605;319639;0
29.11.2004;15.739;572.2;8410820;324067;0
31.12.2004;26.177;570.1;8462026;386918;1
21.01.2005;13.17;571.2;8469443;293027;0
24.02.2005;15.139;574.5;8520687;294892;0
30.03.2005;18.683;579;8568959;338969;0
29.04.2005;14.829;582.9;8654352;335626;0
25.05.2005;15.697;582.4;8644646;345400;0
28.06.2005;20.23;582.6;8724753;351068;0
28.07.2005;15.26;585.2;8833907;351887;0
26.08.2005;15.709;588.2;8825450;355897;0
30.09.2005;18.618;595.4;8882536;333652;0
31.10.2005;15.397;596.7;8911627;336662;0
28.11.2005;17.384;592;8916377;344441;0
30.12.2005;27.92;589.4;8955472;406510;1
27.01.2006;14.555;593.9;9034368;322222;0
23.02.2006;18.684;595.2;9079246;318184;0
31.03.2006;16.639;598.6;9123848;366989;0
28.04.2006;20.17;603.5;9175181;357334;0
25.05.2006;16.901;606.5;9238576;380085;0
30.06.2006;21.47;607.8;9270505;373279;0
28.07.2006;16.542;609.6;9338876;368611;0
29.08.2006;16.98;610.9;9352650;382600;0
28.09.2006;20.091;607.9;9348494;352686;0
20.10.2006;16.583;604.6;9376027;354740;0
24.11.2006;18.761;603.6;9410758;363468;0
29.12.2006;28.795;604.5;9478531;424946;1
26.01.2007;20.473;606.348;9540335;332797;0
